"GO","GENE"
"GO:0042742","evm.utg172.82"
"GO:0030154","evm.utg26219.16"
"GO:0006468","evm.utg6078.62"
"GO:0008218","evm.utg203.148"
"GO:0015074","utg4155.evm.utg4695.64.mrna2"
"GO:0060612","evm.utg62.72"
"GO:0006417","evm.utg163.76"
"GO:0006468","evm.utg597.48"
"GO:0045329","evm.utg73.35"
"GO:0006357","evm.utg1925.59"
"GO:0055085","evm.utg27.73"
"GO:0006334","evm.utg194.25"
"GO:0050896","evm.utg1056.28"
"GO:0035556","evm.utg162.13"
"GO:0006508","evm.utg379.32"
"GO:0006572","evm.utg26697.9"
"GO:0010466","evm.utg30988.13"
"GO:0008380","evm.utg163.76"
"GO:0006596","evm.utg78.54"
"GO:1990961","evm.utg4157.34"
"GO:0016567","evm.utg162.13"
"GO:0008152","evm.utg172.82"
"GO:0007165","evm.utg3470.20"
"GO:0006468","evm.utg1721.53"
"GO:0006559","evm.utg26697.9"
"GO:0007165","evm.utg26219.16"
"GO:0016042","evm.utg5074.17"
"GO:0006289","evm.utg112.49"
"GO:0005975","evm.utg888.2"
"GO:0006032","evm.utg888.2"
"GO:0007186","evm.utg324.183"
"GO:0007218","evm.utg324.183"
"GO:0043161","evm.utg162.13"
"GO:0016485","evm.utg379.32"
"GO:0007018","evm.utg172.72"
"GO:0051966","evm.utg1663.34"
"GO:0043488","evm.utg163.76"
"GO:0007165","evm.utg1049.13"
"GO:0048488","evm.utg890.35"
"GO:0007214","evm.utg2801.36"
"GO:0097352","evm.utg3409.15"
"GO:0043490","evm.utg27.73"
"GO:0006357","evm.utg2353.29"
"GO:0030334","evm.utg55.33"
"GO:0008202","evm.utg379.22"
"GO:0010466","evm.utg868.112"
"GO:0032474","evm.utg1931.94"
"GO:0031638","evm.utg6432.13.14"
